session_id,start_time,station_id,energy_kwh,duration_minutes,connector_type
1,2024-05-01 00:00:00,STN_2,25.48,43,CCS
2,2024-05-01 00:00:00,STN_3,26.53,60,CCS
3,2024-05-01 01:00:00,STN_1,20.36,42,Type2
4,2024-05-01 01:00:00,STN_3,33.05,52,Type2
5,2024-05-01 01:00:00,STN_7,18.71,50,CHAdeMO
6,2024-05-01 02:00:00,STN_3,18.76,40,CHAdeMO
7,2024-05-01 02:00:00,STN_4,23.69,25,Type2
8,2024-05-01 02:00:00,STN_6,9.93,39,Type2
9,2024-05-01 02:00:00,STN_9,14.91,48,Type2
10,2024-05-01 02:00:00,STN_10,15.64,30,CHAdeMO
11,2024-05-01 03:00:00,STN_1,32.26,42,CHAdeMO
12,2024-05-01 03:00:00,STN_4,22.47,30,CCS
13,2024-05-01 03:00:00,STN_7,18.19,46,CHAdeMO
14,2024-05-01 03:00:00,STN_9,13.94,48,Type2
15,2024-05-01 03:00:00,STN_10,17.8,42,CCS
16,2024-05-01 04:00:00,STN_3,17.79,63,CHAdeMO
17,2024-05-01 04:00:00,STN_4,21.91,34,CCS
18,2024-05-01 04:00:00,STN_5,27.76,32,Type2
19,2024-05-01 04:00:00,STN_6,23.46,25,CCS
20,2024-05-01 04:00:00,STN_7,12.7,46,Type2
21,2024-05-01 04:00:00,STN_9,27.17,46,Type2
22,2024-05-01 05:00:00,STN_1,21.19,41,CHAdeMO
23,2024-05-01 05:00:00,STN_2,11.65,37,CHAdeMO
24,2024-05-01 05:00:00,STN_5,18.78,55,Type2
25,2024-05-01 05:00:00,STN_6,24.41,27,CHAdeMO
26,2024-05-01 05:00:00,STN_8,24.27,41,CCS
27,2024-05-01 05:00:00,STN_9,17.26,51,CCS
28,2024-05-01 06:00:00,STN_2,29.22,54,CCS
29,2024-05-01 06:00:00,STN_7,16.13,41,CCS
30,2024-05-01 06:00:00,STN_8,24.32,54,CCS
31,2024-05-01 07:00:00,STN_5,18.65,43,CHAdeMO
32,2024-05-01 07:00:00,STN_8,14.26,33,Type2
33,2024-05-01 07:00:00,STN_10,27.69,58,Type2
34,2024-05-01 08:00:00,STN_1,21.5,55,Type2
35,2024-05-01 08:00:00,STN_2,24.53,38,CHAdeMO
36,2024-05-01 08:00:00,STN_4,24.53,60,CCS
37,2024-05-01 08:00:00,STN_5,21.75,60,CCS
38,2024-05-01 08:00:00,STN_6,3.66,53,CHAdeMO
39,2024-05-01 08:00:00,STN_7,22.61,42,CCS
40,2024-05-01 09:00:00,STN_1,22.64,25,CHAdeMO
41,2024-05-01 09:00:00,STN_6,20.46,48,CCS
42,2024-05-01 10:00:00,STN_2,32.35,39,Type2
43,2024-05-01 10:00:00,STN_3,16.34,39,CHAdeMO
44,2024-05-01 10:00:00,STN_5,28.41,48,Type2
45,2024-05-01 10:00:00,STN_7,18.29,50,CCS
46,2024-05-01 10:00:00,STN_8,22.68,54,CHAdeMO
47,2024-05-01 10:00:00,STN_10,17.09,41,CCS
48,2024-05-01 11:00:00,STN_5,19.26,30,CCS
49,2024-05-01 11:00:00,STN_6,24.07,47,Type2
50,2024-05-01 11:00:00,STN_7,22.04,42,CCS
51,2024-05-01 11:00:00,STN_10,12.09,40,Type2
52,2024-05-01 12:00:00,STN_1,19.6,36,CCS
53,2024-05-01 12:00:00,STN_2,20.87,49,CHAdeMO
54,2024-05-01 12:00:00,STN_3,35.2,46,CCS
55,2024-05-01 12:00:00,STN_4,23.8,44,Type2
56,2024-05-01 12:00:00,STN_8,8.57,44,Type2
57,2024-05-01 13:00:00,STN_1,22.42,69,CCS
58,2024-05-01 13:00:00,STN_2,20.65,48,CCS
59,2024-05-01 13:00:00,STN_9,21.76,33,CCS
60,2024-05-01 14:00:00,STN_1,30.0,52,Type2
61,2024-05-01 14:00:00,STN_3,27.54,35,CCS
62,2024-05-01 14:00:00,STN_7,31.82,30,CHAdeMO
63,2024-05-01 15:00:00,STN_2,26.11,66,CHAdeMO
64,2024-05-01 15:00:00,STN_4,15.07,39,CHAdeMO
65,2024-05-01 15:00:00,STN_9,22.7,39,CHAdeMO
66,2024-05-01 15:00:00,STN_10,11.15,45,Type2
67,2024-05-01 16:00:00,STN_1,14.56,49,Type2
68,2024-05-01 16:00:00,STN_4,15.56,60,CHAdeMO
69,2024-05-01 16:00:00,STN_7,16.52,41,Type2
70,2024-05-01 16:00:00,STN_10,27.69,32,Type2
71,2024-05-01 17:00:00,STN_1,23.59,58,CHAdeMO
72,2024-05-01 17:00:00,STN_4,10.75,46,Type2
73,2024-05-01 17:00:00,STN_8,23.82,52,CHAdeMO
74,2024-05-01 18:00:00,STN_2,13.34,31,CCS
75,2024-05-01 18:00:00,STN_5,25.65,47,Type2
76,2024-05-01 18:00:00,STN_8,23.75,48,CHAdeMO
77,2024-05-01 18:00:00,STN_9,17.24,47,CCS
78,2024-05-01 18:00:00,STN_10,24.05,37,CHAdeMO
79,2024-05-01 19:00:00,STN_1,35.06,49,Type2
80,2024-05-01 19:00:00,STN_2,13.66,51,CCS
81,2024-05-01 19:00:00,STN_7,15.18,52,CHAdeMO
82,2024-05-01 19:00:00,STN_8,30.11,36,CCS
83,2024-05-01 19:00:00,STN_10,28.74,49,Type2
84,2024-05-01 20:00:00,STN_1,27.75,63,CCS
85,2024-05-01 20:00:00,STN_2,20.28,37,CCS
86,2024-05-01 20:00:00,STN_4,15.77,36,CHAdeMO
87,2024-05-01 20:00:00,STN_7,21.46,48,CHAdeMO
88,2024-05-01 21:00:00,STN_4,23.94,53,CHAdeMO
89,2024-05-01 21:00:00,STN_7,22.09,59,Type2
90,2024-05-01 21:00:00,STN_8,20.15,72,CCS
91,2024-05-01 21:00:00,STN_10,26.38,36,Type2
92,2024-05-01 22:00:00,STN_4,14.5,49,Type2
93,2024-05-01 22:00:00,STN_5,20.44,52,CCS
94,2024-05-01 22:00:00,STN_6,25.31,44,CCS
95,2024-05-01 23:00:00,STN_4,16.07,29,Type2
96,2024-05-01 23:00:00,STN_7,18.87,53,CCS
97,2024-05-01 23:00:00,STN_10,23.5,32,CCS
98,2024-05-02 00:00:00,STN_1,23.21,48,CHAdeMO
99,2024-05-02 00:00:00,STN_9,15.81,46,CCS
100,2024-05-02 01:00:00,STN_3,22.41,33,CHAdeMO
101,2024-05-02 01:00:00,STN_4,24.5,50,CCS
102,2024-05-02 01:00:00,STN_6,29.58,55,CHAdeMO
103,2024-05-02 01:00:00,STN_8,12.36,35,Type2
104,2024-05-02 01:00:00,STN_9,25.61,50,Type2
105,2024-05-02 01:00:00,STN_10,25.61,83,CHAdeMO
106,2024-05-02 02:00:00,STN_2,26.0,56,CHAdeMO
107,2024-05-02 02:00:00,STN_3,28.68,51,CHAdeMO
108,2024-05-02 02:00:00,STN_4,19.79,52,CCS
109,2024-05-02 02:00:00,STN_7,16.59,42,Type2
110,2024-05-02 02:00:00,STN_8,18.6,45,CCS
111,2024-05-02 03:00:00,STN_1,38.2,26,CCS
112,2024-05-02 03:00:00,STN_2,26.8,28,Type2
113,2024-05-02 03:00:00,STN_4,18.7,55,CCS
114,2024-05-02 04:00:00,STN_1,22.45,34,CHAdeMO
115,2024-05-02 04:00:00,STN_3,16.99,51,CHAdeMO
116,2024-05-02 04:00:00,STN_4,16.89,47,CCS
117,2024-05-02 04:00:00,STN_7,22.32,38,CCS
118,2024-05-02 04:00:00,STN_10,37.01,51,CHAdeMO
119,2024-05-02 05:00:00,STN_6,7.82,46,CHAdeMO
